state,district,pincode_x,age_0_5,age_5_17,age_18_greater,pincode_y,bio_age_5_17,bio_age_17_,pincode,demo_age_5_17,demo_age_17_,child_to_bio_gap,demo_without_bio_gap,child_to_adult_gap,q1_insight,migration_pressure_index,migration_signal
andhra pradesh,eluru,273377245,562,42,16,993726715,4117,3634,0,0,0,-4075,-3634,26,Backlog clearing / catch-up activity,213.7647059,Severe urban pressure (migration hub)
andhra pradesh,guntur,2131151014,8610,895,34,4232010609,168010,92425,0,0,0,-167115,-92425,861,Backlog clearing / catch-up activity,2640.714286,Severe urban pressure (migration hub)
andhra pradesh,kadapa,1737692919,6143,439,34,3994881670,108452,53571,0,0,0,-108013,-53571,405,Backlog clearing / catch-up activity,1530.6,Severe urban pressure (migration hub)
andhra pradesh,kakinada,367434002,846,82,27,978105521,6938,4240,0,0,0,-6856,-4240,55,Backlog clearing / catch-up activity,151.4285714,Severe urban pressure (migration hub)
andhra pradesh,konaseema,294355792,608,30,17,1045717444,4236,2773,0,0,0,-4206,-2773,13,Backlog clearing / catch-up activity,154.0555556,Severe urban pressure (migration hub)
andhra pradesh,krishna,1780940880,6080,530,34,4273120976,129972,76572,0,0,0,-129442,-76572,496,Backlog clearing / catch-up activity,2187.771429,Severe urban pressure (migration hub)
andhra pradesh,kurnool,1995075917,10728,792,24,3398186969,215330,97065,0,0,0,-214538,-97065,768,Backlog clearing / catch-up activity,3882.6,Severe urban pressure (migration hub)
andhra pradesh,nandyal,329689742,851,37,6,991129068,6054,4023,0,0,0,-6017,-4023,31,Backlog clearing / catch-up activity,574.7142857,Severe urban pressure (migration hub)
andhra pradesh,nellore,1922301083,6393,2055,608,4239941810,100510,56467,0,0,0,-98455,-56467,1447,Backlog clearing / catch-up activity,92.72085386,Severe urban pressure (migration hub)
andhra pradesh,ntr,341589507,781,94,46,984286177,6408,6031,0,0,0,-6314,-6031,48,Backlog clearing / catch-up activity,128.3191489,Severe urban pressure (migration hub)
andhra pradesh,palnadu,308268411,742,75,25,855313692,5714,3735,0,0,0,-5639,-3735,50,Backlog clearing / catch-up activity,143.6538462,Severe urban pressure (migration hub)
andhra pradesh,parvathipuram manyam,206454549,455,36,8,696643103,4728,5053,0,0,0,-4692,-5053,28,Backlog clearing / catch-up activity,561.4444444,Severe urban pressure (migration hub)
andhra pradesh,prakasam,1890465325,6298,1129,61,3944691167,124542,68524,0,0,0,-123413,-68524,1068,Backlog clearing / catch-up activity,1105.225806,Severe urban pressure (migration hub)
andhra pradesh,sri sathya sai,363867498,865,39,19,991705694,4966,4248,0,0,0,-4927,-4248,20,Backlog clearing / catch-up activity,212.4,Severe urban pressure (migration hub)
andhra pradesh,srikakulam,1249435099,4107,130,8,2717484834,102194,60432,0,0,0,-102064,-60432,122,Backlog clearing / catch-up activity,6714.666667,Severe urban pressure (migration hub)
andhra pradesh,tirupati,483558499,777,676,228,1058971554,5365,4383,0,0,0,-4689,-4383,448,Backlog clearing / catch-up activity,19.13973799,Severe urban pressure (migration hub)
andhra pradesh,visakhapatnam,1909270461,7733,465,41,3716918055,173535,100775,0,0,0,-173070,-100775,424,Backlog clearing / catch-up activity,2399.404762,Severe urban pressure (migration hub)
andhra pradesh,vizianagaram,1122144064,3643,150,3,2622527353,89330,52229,0,0,0,-89180,-52229,147,Backlog clearing / catch-up activity,13057.25,Severe urban pressure (migration hub)
andhra pradesh,west godavari,1815686034,5494,333,24,4539065197,124317,70761,0,0,0,-123984,-70761,309,Backlog clearing / catch-up activity,2830.44,Severe urban pressure (migration hub)
arunachal pradesh,anjaw,15842080,23,11,3,54655176,620,417,0,0,0,-609,-417,8,Backlog clearing / catch-up activity,104.25,Severe urban pressure (migration hub)
arunachal pradesh,changlang,143371364,482,299,13,331098365,4953,2408,0,0,0,-4654,-2408,286,Backlog clearing / catch-up activity,172,Severe urban pressure (migration hub)
arunachal pradesh,dibang valley,7128918,7,3,0,49902435,298,117,0,0,0,-295,-117,3,Backlog clearing / catch-up activity,117,Severe urban pressure (migration hub)
arunachal pradesh,east kameng,52146742,88,76,14,99552896,2501,1363,0,0,0,-2425,-1363,62,Backlog clearing / catch-up activity,90.86666667,Severe urban pressure (migration hub)
arunachal pradesh,east siang,60123794,80,82,2,121038741,2108,948,0,0,0,-2026,-948,80,Backlog clearing / catch-up activity,316,Severe urban pressure (migration hub)
arunachal pradesh,kamle,13449210,3,25,2,27689550,57,86,0,0,0,-32,-86,23,Backlog clearing / catch-up activity,28.66666667,Severe urban pressure (migration hub)
arunachal pradesh,kra daadi,29271366,18,58,4,56169378,642,401,0,0,0,-584,-401,54,Backlog clearing / catch-up activity,80.2,Severe urban pressure (migration hub)
arunachal pradesh,kurung kumey,26898012,19,44,12,65662794,1206,1555,0,0,0,-1162,-1555,32,Backlog clearing / catch-up activity,119.6153846,Severe urban pressure (migration hub)
arunachal pradesh,leparada,2373303,0,2,1,18195323,34,2,0,0,0,-32,-2,1,Backlog clearing / catch-up activity,1,Stable / low migration
arunachal pradesh,lohit,64948573,100,60,1,196434030,1696,1731,0,0,0,-1636,-1731,59,Backlog clearing / catch-up activity,865.5,Severe urban pressure (migration hub)
arunachal pradesh,longding,61775209,141,719,37,170610704,1478,859,0,0,0,-759,-859,682,Backlog clearing / catch-up activity,22.60526316,Severe urban pressure (migration hub)
arunachal pradesh,lower dibang valley,41981830,57,48,2,64953020,1293,758,0,0,0,-1245,-758,46,Backlog clearing / catch-up activity,252.6666667,Severe urban pressure (migration hub)
arunachal pradesh,lower siang,18986859,10,18,3,81484528,333,42,0,0,0,-315,-42,15,Backlog clearing / catch-up activity,10.5,Severe urban pressure (migration hub)
arunachal pradesh,lower subansiri,45884949,50,55,0,101263310,1449,1022,0,0,0,-1394,-1022,55,Backlog clearing / catch-up activity,1022,Severe urban pressure (migration hub)
arunachal pradesh,namsai,68120914,93,54,1,174262746,3348,2168,0,0,0,-3294,-2168,53,Backlog clearing / catch-up activity,1084,Severe urban pressure (migration hub)
arunachal pradesh,pakke kessang,3160412,2,1,1,28443708,18,38,0,0,0,-17,-38,0,Backlog clearing / catch-up activity,19,Severe urban pressure (migration hub)
arunachal pradesh,papum pare,186702737,200,235,5,409797103,4490,3707,0,0,0,-4255,-3707,230,Backlog clearing / catch-up activity,617.8333333,Severe urban pressure (migration hub)
arunachal pradesh,shi yomi,15029057,8,22,5,51415193,196,307,0,0,0,-174,-307,17,Backlog clearing / catch-up activity,51.16666667,Severe urban pressure (migration hub)
arunachal pradesh,siang,35596459,39,60,4,111538716,826,366,0,0,0,-766,-366,56,Backlog clearing / catch-up activity,73.2,Severe urban pressure (migration hub)
arunachal pradesh,tawang,66368827,104,42,7,158811103,1746,520,0,0,0,-1704,-520,35,Backlog clearing / catch-up activity,65,Severe urban pressure (migration hub)
arunachal pradesh,tirap,49810674,59,39,1,213913677,1310,481,0,0,0,-1271,-481,38,Backlog clearing / catch-up activity,240.5,Severe urban pressure (migration hub)
arunachal pradesh,upper siang,26111538,21,20,1,117136481,1182,489,0,0,0,-1162,-489,19,Backlog clearing / catch-up activity,244.5,Severe urban pressure (migration hub)
arunachal pradesh,upper subansiri,41929466,76,55,12,61707516,2245,1362,0,0,0,-2190,-1362,43,Backlog clearing / catch-up activity,104.7692308,Severe urban pressure (migration hub)
arunachal pradesh,west kameng,99546733,156,103,18,348417675,2779,2780,0,0,0,-2676,-2780,85,Backlog clearing / catch-up activity,146.3157895,Severe urban pressure (migration hub)
arunachal pradesh,west siang,76734765,108,78,2,200968990,3133,1126,0,0,0,-3055,-1126,76,Backlog clearing / catch-up activity,375.3333333,Severe urban pressure (migration hub)
assam,bajali,21877349,19,8,2,17189297,6,17,343785847,57,787,2,770,6,Healthy lifecycle,268,Severe urban pressure (migration hub)
assam,baksa,555539036,2091,1154,398,950117786,10269,5326,1328287841,949,11228,-9115,5902,756,Backlog clearing / catch-up activity,41.4887218,Severe urban pressure (migration hub)
assam,barpeta,986808851,10484,3248,531,1327464206,57641,26976,1554830303,4157,44983,-54393,18007,2717,Backlog clearing / catch-up activity,135.2612782,Severe urban pressure (migration hub)
assam,biswanath,385029214,785,448,74,746533839,5635,3072,1011584585,617,7449,-5187,4377,374,Backlog clearing / catch-up activity,140.28,Severe urban pressure (migration hub)
assam,bongaigaon,473163812,2303,608,219,768499509,21622,10805,907941884,2619,27125,-21014,16320,389,Backlog clearing / catch-up activity,172.4090909,Severe urban pressure (migration hub)
assam,cachar,2005917601,11421,4446,1524,2892624438,40179,21779,3624070814,3844,42941,-35733,21162,2922,Backlog clearing / catch-up activity,42.43934426,Severe urban pressure (migration hub)
assam,charaideo,273418853,655,323,194,489482198,5681,1995,652905213,618,7197,-5358,5202,129,Backlog clearing / catch-up activity,47.13846154,Severe urban pressure (migration hub)
assam,chirang,397157201,2006,1047,263,700266453,16467,8330,833439367,996,10511,-15420,2181,784,Backlog clearing / catch-up activity,71.36742424,Severe urban pressure (migration hub)
assam,darrang,621884948,4364,1860,1290,825800671,15577,9083,996779786,2526,19313,-13717,10230,570,Backlog clearing / catch-up activity,21.99535244,Severe urban pressure (migration hub)
assam,dhemaji,470603525,3832,1795,1191,695670971,10872,7402,851483835,1393,14443,-9077,7041,604,Backlog clearing / catch-up activity,18.32634228,Severe urban pressure (migration hub)
assam,dhubri,1012803121,8388,3774,364,1268939322,33608,17447,1489046924,6115,62790,-29834,45343,3410,Backlog clearing / catch-up activity,219.8273973,Severe urban pressure (migration hub)
assam,dibrugarh,839670114,3883,1649,1492,1289374498,13526,9450,1824815595,1536,19103,-11877,9653,157,Backlog clearing / catch-up activity,19.12458138,Severe urban pressure (migration hub)
assam,dima hasao,205888101,620,521,165,341568610,2714,1152,0,0,0,-2193,-1152,356,Backlog clearing / catch-up activity,6.939759036,Severe urban pressure (migration hub)
assam,goalpara,574041697,6854,2182,796,764345849,16306,9869,927239070,3557,29781,-14124,19912,1386,Backlog clearing / catch-up activity,49.74905897,Severe urban pressure (migration hub)
assam,golaghat,780915489,5510,4013,1920,1059814604,11665,7081,1316715013,1411,17510,-7652,10429,2093,Backlog clearing / catch-up activity,12.80114524,Severe urban pressure (migration hub)
assam,hailakandi,633738037,3806,1385,308,829223703,13846,6483,1032609691,2042,17227,-12461,10744,1077,Backlog clearing / catch-up activity,76.73139159,Severe urban pressure (migration hub)
assam,hojai,457728312,5271,1584,155,626735724,13686,12492,729236277,2052,19498,-12102,7006,1429,Backlog clearing / catch-up activity,205.0641026,Severe urban pressure (migration hub)
assam,jorhat,906284061,2886,1101,860,1501525797,9837,5004,1972724129,946,13291,-8736,8287,241,Backlog clearing / catch-up activity,21.2485482,Severe urban pressure (migration hub)
assam,kamrup,1412351439,9241,3394,1043,2055244922,27454,11999,2811372993,2947,36096,-24060,24097,2351,Backlog clearing / catch-up activity,46.06800766,Severe urban pressure (migration hub)
assam,kamrup metro,1321719286,2637,2033,1336,1981029608,12648,10653,0,0,0,-10615,-10653,697,Backlog clearing / catch-up activity,7.967838444,Severe urban pressure (migration hub)
assam,karbi anglong,714371326,2908,4059,1067,1096964280,23523,12652,0,0,0,-19464,-12652,2992,Backlog clearing / catch-up activity,11.84644195,Severe urban pressure (migration hub)
assam,kokrajhar,584380511,2511,1551,518,968222418,14893,9686,1156226793,1390,17469,-13342,7783,1033,Backlog clearing / catch-up activity,52.32177264,Severe urban pressure (migration hub)
assam,lakhimpur,702783573,4682,1794,644,1014784727,15719,11230,1217571810,2416,22653,-13925,11423,1150,Backlog clearing / catch-up activity,52.53178295,Severe urban pressure (migration hub)
assam,majuli,113844382,343,154,11,245746233,1796,1142,321906590,235,2422,-1642,1280,143,Backlog clearing / catch-up activity,297,Severe urban pressure (migration hub)
assam,marigaon,615597093,6706,2879,824,809583650,17056,13357,1020006279,3493,31363,-14177,18006,2055,Backlog clearing / catch-up activity,54.20606061,Severe urban pressure (migration hub)
assam,nagaon,1378295708,8940,3400,393,2109670726,41006,68584,2469509466,5904,73534,-37606,4950,3007,Backlog clearing / catch-up activity,360.7055838,Severe urban pressure (migration hub)
assam,nalbari,845381492,2686,946,195,1429821885,12629,5259,1827517903,1574,14220,-11683,8961,751,Backlog clearing / catch-up activity,99.38265306,Severe urban pressure (migration hub)
assam,sivasagar,645039929,1746,613,767,1250012279,7486,2783,0,0,0,-6873,-2783,-154,Backlog clearing / catch-up activity,3.623697917,High migration activity
assam,sonitpur,1351150994,5464,2634,972,2140053892,15624,11505,2759568254,2360,30618,-12990,19113,1662,Backlog clearing / catch-up activity,43.29188078,Severe urban pressure (migration hub)
assam,south salmara mancachar,189517663,1056,359,46,254517345,2606,1860,0,0,0,-2247,-1860,313,Backlog clearing / catch-up activity,39.57446809,Severe urban pressure (migration hub)
assam,sribhumi,1329698277,9386,4801,603,1765047110,23311,10870,0,0,0,-18510,-10870,4198,Backlog clearing / catch-up activity,17.99668874,Severe urban pressure (migration hub)
assam,tamulpur,38286890,22,33,0,46881811,17,53,0,0,0,16,-53,33,Healthy lifecycle,53,Severe urban pressure (migration hub)
assam,tinsukia,933193681,3868,2840,1602,1385245886,10947,6321,1909625125,1501,25463,-8107,19142,1238,Backlog clearing / catch-up activity,19.82782283,Severe urban pressure (migration hub)
assam,udalguri,727151025,2649,1298,583,1145233754,10663,8402,1582091500,1013,13531,-9365,5129,715,Backlog clearing / catch-up activity,37.55650685,Severe urban pressure (migration hub)
assam,west karbi anglong,122064110,390,984,507,117370420,1008,2149,0,0,0,-24,-2149,477,Backlog clearing / catch-up activity,4.230314961,High migration activity
bihar,araria,922649677,9803,5294,111,1239600572,59490,68921,1485650414,6227,113607,-54196,44686,5183,Backlog clearing / catch-up activity,1629.714286,Severe urban pressure (migration hub)
bihar,arwal,464844145,801,2916,33,660131262,10656,15316,843422100,1674,19577,-7740,4261,2883,Backlog clearing / catch-up activity,1026.264706,Severe urban pressure (migration hub)
bihar,aurangabad,1366449079,3008,6741,71,1886139787,40509,42330,2423018682,7783,72265,-33768,29935,6670,Backlog clearing / catch-up activity,1591.597222,Severe urban pressure (migration hub)
bihar,banka,1099445830,6092,4530,78,1647675495,42950,40481,1976963148,5334,67333,-38420,26852,4452,Backlog clearing / catch-up activity,1364.734177,Severe urban pressure (migration hub)
bihar,begusarai,1462457114,7939,4755,56,2078401451,59472,62352,2556627278,9669,91238,-54717,28886,4699,Backlog clearing / catch-up activity,2694.561404,Severe urban pressure (migration hub)
bihar,bhagalpur,1443119471,10325,9974,375,2066058860,59065,63951,2405081379,10436,102288,-49091,38337,9599,Backlog clearing / catch-up activity,442.125,Severe urban pressure (migration hub)
bihar,bhojpur,1825440713,3087,9512,95,2549720320,34361,45365,3034159084,8019,102307,-24849,56942,9417,Backlog clearing / catch-up activity,1538.25,Severe urban pressure (migration hub)
bihar,buxar,1176710278,2482,4473,64,1617877447,21631,27196,1936320084,5391,48499,-17158,21303,4409,Backlog clearing / catch-up activity,1164.538462,Severe urban pressure (migration hub)
bihar,darbhanga,2036391201,9911,5520,67,2827570081,79992,99336,3238410254,9703,113139,-74472,13803,5453,Backlog clearing / catch-up activity,3124.632353,Severe urban pressure (migration hub)
bihar,gaya,1697229925,6620,19591,421,2217509910,69412,78033,2617776998,14117,125305,-49821,47272,19170,Backlog clearing / catch-up activity,481.8436019,Severe urban pressure (migration hub)
bihar,gopalganj,1117423859,5255,9367,196,1513723764,40367,49063,1705566168,5896,75133,-31000,26070,9171,Backlog clearing / catch-up activity,630.4365482,Severe urban pressure (migration hub)
bihar,jamui,636066755,5072,4884,155,838894260,40027,29465,949232067,4030,46211,-35143,16746,4729,Backlog clearing / catch-up activity,485.1025641,Severe urban pressure (migration hub)
bihar,jehanabad,848196573,901,3661,138,1251411326,13290,17732,1482289321,3405,33070,-9629,15338,3523,Backlog clearing / catch-up activity,365.4820144,Severe urban pressure (migration hub)
bihar,kaimur (bhabua),578353517,3001,4600,84,752871597,31075,33186,0,0,0,-26475,-33186,4516,Backlog clearing / catch-up activity,390.4235294,Severe urban pressure (migration hub)
bihar,katihar,1162751456,11194,4720,112,1570232621,81567,102079,1739378665,9002,135365,-76847,33286,4608,Backlog clearing / catch-up activity,2101.274336,Severe urban pressure (migration hub)
bihar,khagaria,788901264,4285,3639,61,1011895105,33155,33744,1190529719,5920,55546,-29516,21802,3578,Backlog clearing / catch-up activity,1440.16129,Severe urban pressure (migration hub)
bihar,kishanganj,437797820,6752,1705,23,589962612,50203,74782,631012624,4561,113753,-48498,38971,1682,Backlog clearing / catch-up activity,7855.625,Severe urban pressure (migration hub)
bihar,lakhisarai,418598547,2644,3338,68,623028860,18895,22915,730923148,3304,36884,-15557,13969,3270,Backlog clearing / catch-up activity,866.6521739,Severe urban pressure (migration hub)
bihar,madhepura,868384418,4402,4090,36,1234752190,45311,54109,1412050305,5312,67617,-41221,13508,4054,Backlog clearing / catch-up activity,3289.891892,Severe urban pressure (migration hub)
bihar,madhubani,2202785144,12438,12090,779,3005018043,93518,106734,3388757447,10180,126609,-81428,19875,11311,Backlog clearing / catch-up activity,299.1576923,Severe urban pressure (migration hub)
bihar,munger,561873648,2450,3403,106,771422992,18526,24240,983402704,3139,38735,-15123,14495,3297,Backlog clearing / catch-up activity,588.5514019,Severe urban pressure (migration hub)
bihar,muzaffarpur,2468015096,13941,13721,650,3453707361,79424,97308,3979002839,11483,148160,-65703,50852,13071,Backlog clearing / catch-up activity,377.06298,Severe urban pressure (migration hub)
bihar,nalanda,1361270569,3600,10405,129,1883162573,44986,54336,2270709092,9502,119667,-34581,65331,10276,Backlog clearing / catch-up activity,1338.484615,Severe urban pressure (migration hub)
bihar,nawada,1148056284,2714,12078,283,1548151591,31667,38221,1750184597,5466,63195,-19589,24974,11795,Backlog clearing / catch-up activity,357.0985915,Severe urban pressure (migration hub)
bihar,pashchim champaran,1136969084,16538,28359,1329,1437027996,65776,76286,0,0,0,-37417,-76286,27030,Backlog clearing / catch-up activity,57.35789474,Severe urban pressure (migration hub)
bihar,patna,2678335433,6663,16516,735,4056211769,81406,97518,4803528458,16124,180870,-64890,83352,15781,Backlog clearing / catch-up activity,378.2445652,Severe urban pressure (migration hub)
bihar,purbi champaran,2221820936,14092,27926,1575,2885005173,82137,96352,0,0,0,-54211,-96352,26351,Backlog clearing / catch-up activity,61.13705584,Severe urban pressure (migration hub)
bihar,purnia,1457443357,12150,7527,174,2177642360,93451,108458,2500557334,7355,110517,-85924,2059,7353,Backlog clearing / catch-up activity,1251.285714,Severe urban pressure (migration hub)
bihar,rohtas,1333034944,2703,4858,74,2037599252,42582,52290,2371203938,8341,87687,-37724,35397,4784,Backlog clearing / catch-up activity,1866.36,Severe urban pressure (migration hub)
bihar,saharsa,918628940,6169,6296,200,1258634712,36140,65024,1421396525,4859,56007,-29844,-9017,6096,Backlog clearing / catch-up activity,602.1442786,Severe urban pressure (migration hub)
bihar,samastipur,2134859318,11021,7364,121,2899038741,79507,87702,3405410659,11073,142900,-72143,55198,7243,Backlog clearing / catch-up activity,1890.180328,Severe urban pressure (migration hub)
bihar,saran,2576068629,7473,15682,215,3428293292,55247,72388,3914553133,11093,113980,-39565,41592,15467,Backlog clearing / catch-up activity,862.8148148,Severe urban pressure (migration hub)
bihar,sheikhpura,361774374,1235,1871,20,579174357,15004,20212,648934457,1837,20884,-13133,672,1851,Backlog clearing / catch-up activity,1956.952381,Severe urban pressure (migration hub)
bihar,sheohar,299367570,2016,1071,8,412370853,11183,16448,462125493,1704,21201,-10112,4753,1063,Backlog clearing / catch-up activity,4183.222222,Severe urban pressure (migration hub)
bihar,sitamarhi,1393995342,20491,18588,2675,1684095477,73029,80471,1874684720,9601,120507,-54441,40036,15913,Backlog clearing / catch-up activity,75.1038864,Severe urban pressure (migration hub)
bihar,siwan,2069673865,6073,8735,135,2831101609,46155,62459,3320762323,7963,86438,-37420,23979,8600,Backlog clearing / catch-up activity,1094.830882,Severe urban pressure (migration hub)
bihar,supaul,1183052358,5600,4342,153,1571227969,40202,53626,1782428133,4788,71142,-35860,17516,4189,Backlog clearing / catch-up activity,810.1818182,Severe urban pressure (migration hub)
bihar,vaishali,1906849862,8099,9289,45,2449591982,62594,79687,2767809851,8802,104123,-53305,24436,9244,Backlog clearing / catch-up activity,3995.869565,Severe urban pressure (migration hub)
chandigarh,chandigarh,134750972,2424,207,35,258665446,46113,21919,323939417,11837,61279,-45906,39360,172,Backlog clearing / catch-up activity,2311.055556,Severe urban pressure (migration hub)
chhattisgarh,balod,237810770,1556,66,4,412869078,25859,49542,467364168,4877,43117,-25793,-6425,62,Backlog clearing / catch-up activity,18531.8,Severe urban pressure (migration hub)
chhattisgarh,balodabazar-bhatapara,498158194,4299,545,33,736971001,52072,81964,0,0,0,-51527,-81964,512,Backlog clearing / catch-up activity,2410.705882,Severe urban pressure (migration hub)
chhattisgarh,balrampur-ramanujganj,234664409,4538,1486,69,298296086,19591,30719,0,0,0,-18105,-30719,1417,Backlog clearing / catch-up activity,438.8428571,Severe urban pressure (migration hub)
chhattisgarh,bastar,285635291,4411,1650,6,453193075,26658,62464,477885656,8500,59659,-25008,-2805,1644,Backlog clearing / catch-up activity,17446.14286,Severe urban pressure (migration hub)
chhattisgarh,bemetara,237800884,2353,286,11,343435243,33456,70085,373906193,3845,43946,-33170,-26139,275,Backlog clearing / catch-up activity,9502.583333,Severe urban pressure (migration hub)
chhattisgarh,bijapur,165639563,3432,1677,1362,240794524,9305,15385,248211361,843,8525,-7628,-6860,315,Backlog clearing / catch-up activity,17.54218635,Severe urban pressure (migration hub)
chhattisgarh,bilaspur,654695724,7385,1390,19,944937342,64991,118043,1080636461,11823,121021,-63601,2978,1371,Backlog clearing / catch-up activity,11953.2,Severe urban pressure (migration hub)
chhattisgarh,dakshin bastar dantewada,234876067,1515,279,24,536985759,12763,31139,0,0,0,-12484,-31139,255,Backlog clearing / catch-up activity,1245.56,Severe urban pressure (migration hub)
chhattisgarh,dhamtari,234993199,1851,84,3,520431194,26078,57668,518439121,2691,31367,-25994,-26301,81,Backlog clearing / catch-up activity,22258.75,Severe urban pressure (migration hub)
chhattisgarh,durg,496912566,3429,499,47,1024925367,74335,92219,1117619066,9053,56440,-73836,-35779,452,Backlog clearing / catch-up activity,3097.0625,Severe urban pressure (migration hub)
chhattisgarh,gariyaband,257773219,1291,219,6,683043418,16412,33511,708755951,1185,21230,-16193,-12281,213,Backlog clearing / catch-up activity,7820.142857,Severe urban pressure (migration hub)
chhattisgarh,gaurela-pendra-marwahi,44065522,738,310,75,98528502,668,1505,0,0,0,-358,-1505,235,Backlog clearing / catch-up activity,19.80263158,Severe urban pressure (migration hub)
chhattisgarh,janjgir-champa,559563328,4028,556,1,942680431,49253,118907,0,0,0,-48697,-118907,555,Backlog clearing / catch-up activity,59453.5,Severe urban pressure (migration hub)
chhattisgarh,jashpur,345892907,1639,821,2,564737598,29427,40884,637686093,7348,55331,-28606,14447,819,Backlog clearing / catch-up activity,32071.66667,Severe urban pressure (migration hub)
chhattisgarh,kabeerdham,215850751,2695,334,4,313200969,39450,48126,355982115,6813,64951,-39116,16825,330,Backlog clearing / catch-up activity,22615.4,Severe urban pressure (migration hub)
chhattisgarh,khairagarh-chhuikhadan-gandai,61478540,178,58,0,72785743,132,903,0,0,0,-74,-903,58,Backlog clearing / catch-up activity,903,Severe urban pressure (migration hub)
chhattisgarh,kondagaon,178923128,1798,919,9,287169726,16819,37831,302000727,4079,56579,-15900,18748,910,Backlog clearing / catch-up activity,9441,Severe urban pressure (migration hub)
chhattisgarh,korba,436552820,2996,476,13,729405679,27178,62153,791843043,5878,72546,-26702,10393,463,Backlog clearing / catch-up activity,9621.357143,Severe urban pressure (migration hub)
chhattisgarh,korea,238782261,1227,484,1,539277653,18195,38495,592998978,1888,25688,-17711,-12807,483,Backlog clearing / catch-up activity,32091.5,Severe urban pressure (migration hub)
chhattisgarh,mahasamund,224970914,2725,546,25,296978935,29103,63782,326092456,8284,123163,-28557,59381,521,Backlog clearing / catch-up activity,7190.192308,Severe urban pressure (migration hub)
chhattisgarh,manendragarh-chirmiri-bharatpur,68667408,186,104,0,79108756,90,503,0,0,0,14,-503,104,Healthy lifecycle,503,Severe urban pressure (migration hub)
chhattisgarh,mohla-manpur-ambagarh chouki,69796067,169,92,4,151892987,1074,3443,0,0,0,-982,-3443,88,Backlog clearing / catch-up activity,688.6,Severe urban pressure (migration hub)
chhattisgarh,mungeli,171855367,2546,345,2,272368112,27978,51156,290684874,3557,51356,-27633,200,343,Backlog clearing / catch-up activity,34170.66667,Severe urban pressure (migration hub)
chhattisgarh,narayanpur,34131609,437,284,8,46990634,6652,13473,47483769,1699,12788,-6368,-685,276,Backlog clearing / catch-up activity,2917.888889,Severe urban pressure (migration hub)
chhattisgarh,raigarh,402489226,4248,612,37,684889694,37384,127593,740971219,3361,58535,-36772,-69058,575,Backlog clearing / catch-up activity,4898.105263,Severe urban pressure (migration hub)
chhattisgarh,raipur,700059166,6043,750,57,1335914860,57000,122955,1442261219,11114,100688,-56250,-22267,693,Backlog clearing / catch-up activity,3855.913793,Severe urban pressure (migration hub)
chhattisgarh,rajnandgaon,360347913,3651,356,23,533891531,52103,91320,588956767,9417,113569,-51747,22249,333,Backlog clearing / catch-up activity,8537.041667,Severe urban pressure (migration hub)
chhattisgarh,sakti,124417449,368,77,2,192327144,634,3331,356398609,868,7929,-557,4598,75,Backlog clearing / catch-up activity,3753.333333,Severe urban pressure (migration hub)
chhattisgarh,sarangarh-bilaigarh,62829520,153,20,3,172174094,113,930,0,0,0,-93,-930,17,Backlog clearing / catch-up activity,232.5,Severe urban pressure (migration hub)
chhattisgarh,sukma,116611270,1172,736,118,163059006,13524,15184,174422717,1249,9810,-12788,-5374,618,Backlog clearing / catch-up activity,210.0336134,Severe urban pressure (migration hub)
