Month,Receiver_District,Receiver_Stress,Donor_District,Donor_Stress,Priority
Sep,saiha,2.53,barmer,0.0,CRITICAL
Sep,pratapgarh,2.51,rohtas,0.0,CRITICAL
Sep,pratapgarh,2.51,prakasam,0.0,CRITICAL
Sep,pratapgarh,2.5,sultanpur,0.0,CRITICAL
Sep,saitual,2.5,bhavnagar,0.0,CRITICAL
Sep,pherzawl,2.5,durg,0.0,CRITICAL
Sep,kamle,2.45,ananthapuramu,0.0,CRITICAL
Sep,sarangarh-bilaigarh,2.45,east godavari,0.0,CRITICAL
Sep,jiribam,2.45,nagaur,0.0,CRITICAL
Sep,kaimur bhabua,2.43,malappuram,0.0,CRITICAL
Sep,manendragarh chirmiri bharatpur,2.42,jaunpur,0.0,CRITICAL
Sep,saiha,2.41,dhar,0.0,CRITICAL
Sep,west singhbhum,2.4,kozhikode,0.0,CRITICAL
Sep,bhilwara,2.38,erode,0.0,CRITICAL
Sep,kargil,2.37,balrampur,0.0,CRITICAL
Sep,lower dibang valley,2.37,siddharthnagar,0.0,CRITICAL
Sep,paschim bardhaman,2.33,mayurbhanj,0.0,CRITICAL
Sep,pratapgarh,2.32,koraput,0.0,CRITICAL
Sep,kiphire,2.31,malda,0.0,CRITICAL
Sep,leh,2.3,cuddalore,0.0,CRITICAL
Sep,leh,2.29,kolkata,0.0,CRITICAL
Sep,siaha,2.28,idukki,0.0,CRITICAL
Sep,tirap,2.27,banka,0.0,CRITICAL
Sep,lakhimpur,2.21,dharashiv,0.0,CRITICAL
Sep,sarangarh-bilaigarh,2.18,latur,0.0,CRITICAL
Sep,kargil,2.18,chittoor,0.0,CRITICAL
Sep,khandwa east nimar,2.17,satara,0.0,CRITICAL
Sep,lawngtlai,2.16,solapur,0.0,CRITICAL
Sep,hamirpur,2.16,moradabad,0.0,CRITICAL
Sep,mamit,2.15,cuttack,0.0,CRITICAL
Sep,baran,2.15,dindigul,0.0,CRITICAL
Sep,jorhat,2.15,katihar,0.0,CRITICAL
Sep,kra daadi,2.13,ananthapuramu,0.0,CRITICAL
Sep,zunheboto,2.12,amritsar,0.0,CRITICAL
Sep,leh,2.1,kishanganj,0.0,CRITICAL
Sep,jagitial,2.09,palakkad,0.0,CRITICAL
Sep,hamirpur,2.07,nandurbar,0.0,CRITICAL
Sep,ntr,2.07,mirzapur,0.0,CRITICAL
Sep,lahaul and spiti,2.07,sirohi,0.0,CRITICAL
Sep,satara,2.04,beed,0.0,CRITICAL
Sep,mohla manpur ambagarh chouki,2.04,lucknow,0.0,CRITICAL
Sep,rajsamand,2.04,bhadohi,0.0,CRITICAL
Sep,jangoan,2.03,katihar,0.0,CRITICAL
Sep,kamle,2.0,banda,0.0,HIGH
Sep,leparada,2.0,pilibhit,0.0,HIGH
Sep,hnahthial,2.0,ambedkar nagar,0.0,HIGH
Sep,saitual,2.0,kheda,0.0,HIGH
Sep,saitual,2.0,kanniyakumari,0.0,HIGH
Sep,niuland,2.0,south west,0.0,HIGH
Sep,saitual,2.0,beed,0.0,HIGH
Sep,saiha,2.0,nalgonda,0.0,HIGH
Sep,khawzawl,2.0,jalaun,0.0,HIGH
Sep,siaha,2.0,koraput,0.0,HIGH
Sep,east kameng,2.0,amravati,0.0,HIGH
Sep,khawzawl,2.0,pudukkottai,0.0,HIGH
Sep,east garo hills,1.98,churu,0.0,HIGH
Sep,lawngtlai,1.97,barpeta,0.0,HIGH
Sep,ratlam,1.97,durg,0.0,HIGH
Sep,jhalawar,1.96,bharatpur,0.0,HIGH
Sep,dima hasao,1.96,parbhani,0.0,HIGH
Sep,kullu,1.95,beed,0.0,HIGH
Sep,kondagaon,1.95,barwani,0.0,HIGH
Sep,saiha,1.94,kasganj,0.0,HIGH
Sep,leh,1.94,sangli,0.0,HIGH
Sep,kabeerdham,1.92,sidhi,0.0,HIGH
Sep,papum pare,1.92,ujjain,0.0,HIGH
Sep,jaipur,1.92,kottayam,0.0,HIGH
Sep,south east,1.92,bhojpur,0.0,HIGH
Sep,alwar,1.92,jhansi,0.0,HIGH
Sep,deeg,1.91,balrampur,0.0,HIGH
Sep,east siang,1.91,begusarai,0.0,HIGH
Sep,mamit,1.91,palakkad,0.0,HIGH
Sep,diu,1.91,mahesana,0.0,HIGH
Sep,west karbi anglong,1.91,tiruvannamalai,0.0,HIGH
Sep,hanumangarh,1.9,nabarangpur,0.0,HIGH
Sep,sangli,1.9,sundargarh,0.0,HIGH
Sep,amravati,1.9,gurdaspur,0.0,HIGH
Sep,lawngtlai,1.89,alwar,0.0,HIGH
Sep,yavatmal,1.89,bankura,0.0,HIGH
Sep,saraikela kharsawan,1.88,bankura,0.0,HIGH
Sep,paschim bardhaman,1.88,shivpuri,0.0,HIGH
Sep,paschim bardhaman,1.88,morena,0.0,HIGH
Sep,khargone west nimar,1.87,sidhi,0.0,HIGH
Sep,lahaul and spiti,1.87,north 24 parganas,0.0,HIGH
Sep,lohit,1.86,kishanganj,0.0,HIGH
Sep,cachar,1.86,nashik,0.0,HIGH
Sep,neemuch,1.86,kalahandi,0.0,HIGH
Sep,gaurela-pendra-marwahi,1.86,nalgonda,0.0,HIGH
Sep,upper siang,1.85,ballari,0.0,HIGH
Sep,satara,1.85,vizianagaram,0.0,HIGH
Sep,dhubri,1.85,purba medinipur,0.0,HIGH
Sep,leh,1.85,jhalawar,0.0,HIGH
Sep,south east,1.84,barwani,0.0,HIGH
Sep,siang,1.84,gondia,0.0,HIGH
Sep,amravati,1.84,hingoli,0.0,HIGH
Sep,lower dibang valley,1.83,dausa,0.0,HIGH
Sep,ajmer,1.83,pune,0.0,HIGH
Sep,jaisalmer,1.82,surendranagar,0.0,HIGH
Sep,golaghat,1.82,krishna,0.0,HIGH
Sep,shamator,1.82,anand,0.0,HIGH
Sep,meluri,1.82,salem,0.0,HIGH
Sep,mokokchung,1.81,wayanad,0.0,HIGH
Sep,kullu,1.81,bharatpur,0.0,HIGH
Sep,sheikhpura,1.81,virudhunagar,0.0,HIGH
Sep,gaurela pendra marwahi,1.8,karimnagar,0.0,HIGH
Sep,reasi,1.8,nalanda,0.0,HIGH
Sep,sitamarhi,1.79,keonjhar,0.0,HIGH
Sep,dholpur,1.79,surguja,0.0,HIGH
Sep,sindhudurg,1.79,malda,0.0,HIGH
Sep,arwal,1.79,namakkal,0.0,HIGH
Sep,amravati,1.79,bathinda,0.0,HIGH
Sep,mamit,1.79,ballari,0.0,HIGH
Sep,satara,1.78,farrukhabad,0.0,HIGH
Sep,shahdol,1.78,khagaria,0.0,HIGH
Sep,dibrugarh,1.78,surajpur,0.0,HIGH
Sep,mohla manpur ambagarh chouki,1.78,ratlam,0.0,HIGH
Sep,amravati,1.78,krishnagiri,0.0,HIGH
Sep,pratapgarh,1.77,bhadrak,0.0,HIGH
Sep,chhatrapati sambhajinagar,1.77,sikar,0.0,HIGH
Sep,tawang,1.77,bikaner,0.0,HIGH
Sep,peddapalli,1.76,hanumangarh,0.0,HIGH
Sep,manendragarh chirmiri bharatpur,1.76,vizianagaram,0.0,HIGH
Sep,bhandara,1.75,uttar dinajpur,0.0,HIGH
Sep,parbhani,1.75,kasaragod,0.0,HIGH
Sep,khargone west nimar,1.75,bareilly,0.0,HIGH
Sep,aizawl,1.75,kurnool,0.0,HIGH
Sep,anjaw,1.75,hisar,0.0,HIGH
Sep,jorhat,1.75,westsinghbhum,0.0,HIGH
Sep,amravati,1.74,ahilyanagar,0.0,HIGH
Sep,bastar,1.74,chitrakoot,0.0,HIGH
Sep,barabanki,1.74,rajkot,0.0,HIGH
Sep,rajanna sircilla,1.73,bharuch,0.0,HIGH
Sep,north garo hills,1.72,baghpat,0.0,HIGH
Sep,lahaul and spiti,1.72,saharsa,0.0,HIGH
Sep,upper subansiri,1.72,vidisha,0.0,HIGH
Sep,parbhani,1.72,mirzapur,0.0,HIGH
Sep,shamator,1.71,virudhunagar,0.0,HIGH
Sep,shrawasti,1.71,ganganagar,0.0,HIGH
Sep,dhemaji,1.71,tumakuru,0.0,HIGH
Sep,sindhudurg,1.71,ambedkar nagar,0.0,HIGH
Sep,dadra and nagar haveli,1.71,sikar,0.0,HIGH
Sep,sarangarh bilaigarh,1.71,bemetara,0.0,HIGH
Sep,siaha,1.71,bareilly,0.0,HIGH
Sep,ntr,1.7,east godavari,0.0,HIGH
Sep,niwari,1.7,tirunelveli,0.0,HIGH
Sep,hingoli,1.69,chandauli,0.0,HIGH
Sep,sawai madhopur,1.69,kannur,0.0,HIGH
Sep,ahilyanagar,1.69,visakhapatnam,0.0,HIGH
Sep,sitamarhi,1.67,nuh,0.0,HIGH
Sep,eastern west khasi hills,1.67,nanded,0.0,HIGH
Sep,lahaul and spiti,1.67,shahdol,0.0,HIGH
Sep,niuland,1.67,buxar,0.0,HIGH
Sep,jiribam,1.67,panna,0.0,HIGH
Sep,niuland,1.67,balangir,0.0,HIGH
Sep,south east,1.67,patna,0.0,HIGH
Sep,saiha,1.67,bargarh,0.0,HIGH
Sep,gaurela pendra marwahi,1.67,kachchh,0.0,HIGH
Sep,hamirpur,1.67,sawai madhopur,0.0,HIGH
Sep,biswanath,1.66,patan,0.0,HIGH
Sep,narayanpur,1.66,surat,0.0,HIGH
Sep,shrawasti,1.66,bareilly,0.0,HIGH
Sep,sindhudurg,1.66,mahesana,0.0,HIGH
Sep,bhandara,1.65,davanagere,0.0,HIGH
Sep,saraikela kharsawan,1.65,ranga reddy,0.0,HIGH
Sep,lohardaga,1.65,chittorgarh,0.0,HIGH
Sep,rohtak,1.65,nuh,0.0,HIGH
Sep,sikar,1.65,hamirpur,0.0,HIGH
Sep,leh,1.65,bijnor,0.0,HIGH
Sep,pandhurna,1.65,udaipur,0.0,HIGH
Sep,jaisalmer,1.65,medchal malkajgiri,0.0,HIGH
Sep,kargil,1.65,khargone (west nimar),0.0,HIGH
Sep,sangli,1.64,hyderabad,0.0,HIGH
Sep,mangan,1.64,bokaro,0.0,HIGH
Sep,aligarh,1.64,jamnagar,0.0,HIGH
Sep,mohla manpur ambagarh chouki,1.64,singrauli,0.0,HIGH
Sep,ahilyanagar,1.64,nuh,0.0,HIGH
Sep,hingoli,1.64,sangrur,0.0,HIGH
Sep,dhemaji,1.64,west godavari,0.0,HIGH
Sep,mandi,1.64,krishna,0.0,HIGH
Sep,lakhimpur,1.63,rewa,0.0,HIGH
Sep,sirohi,1.63,chhindwara,0.0,HIGH
Sep,chittorgarh,1.63,wardha,0.0,HIGH
Sep,sindhudurg,1.63,dindigul,0.0,HIGH
Sep,chhotaudepur,1.63,muzaffarpur,0.0,HIGH
Sep,dhemaji,1.63,dharmapuri,0.0,HIGH
Sep,manendragarh chirmiri bharatpur,1.63,nagapattinam,0.0,HIGH
Sep,dhule,1.62,madurai,0.0,HIGH
Sep,firozabad,1.62,janjgir-champa,0.0,HIGH
Sep,latehar,1.62,jalna,0.0,HIGH
Sep,kabeerdham,1.62,dhanbad,0.0,HIGH
Sep,ambala,1.62,vaishali,0.0,HIGH
Sep,satara,1.61,bilaspur,0.0,HIGH
Sep,sindhudurg,1.61,theni,0.0,HIGH
Sep,parbhani,1.61,chittoor,0.0,HIGH
Sep,gariyaband,1.61,jamnagar,0.0,HIGH
Sep,uttarkashi,1.61,palwal,0.0,HIGH
Sep,barmer,1.61,katni,0.0,HIGH
Sep,lawngtlai,1.61,palghar,0.0,HIGH
Sep,shimla,1.61,jalgaon,0.0,HIGH
Sep,ahilyanagar,1.6,kanpur dehat,0.0,HIGH
Sep,ranipet,1.6,belagavi,0.0,HIGH
Sep,deogarh,1.6,thrissur,0.0,HIGH
Sep,jaintia hills,1.6,chhatarpur,0.0,HIGH
Sep,doda,1.6,yavatmal,0.0,HIGH
Sep,yavatmal,1.6,pune,0.0,HIGH
Sep,beed,1.59,chennai,0.0,HIGH
Sep,tirap,1.59,mandsaur,0.0,HIGH
Sep,rudraprayag,1.59,chhatrapati sambhajinagar,0.0,HIGH
Sep,tikamgarh,1.59,shajapur,0.0,HIGH
Sep,rewari,1.59,basti,0.0,HIGH
Sep,pratapgarh,1.59,bundi,0.0,HIGH
Sep,sangli,1.59,sehore,0.0,HIGH
Sep,udhampur,1.59,mumbai,0.0,HIGH
Sep,s.a.s nagar,1.59,vellore,0.0,HIGH
Sep,balod,1.59,pratapgarh,0.0,HIGH
Sep,bishnupur,1.58,jehanabad,0.0,HIGH
Sep,dhar,1.58,bhandara,0.0,HIGH
Sep,deeg,1.58,latehar,0.0,HIGH
Sep,pandhurna,1.58,alappuzha,0.0,HIGH
Sep,dausa,1.58,tiruppur,0.0,HIGH
Sep,malerkotla,1.58,coimbatore,0.0,HIGH
Sep,leh,1.58,balod,0.0,HIGH
Sep,wardha,1.57,tiruchirappalli,0.0,HIGH
Sep,kabeerdham,1.57,kandhamal,0.0,HIGH
Sep,new delhi,1.57,baran,0.0,HIGH
Sep,solapur,1.57,surat,0.0,HIGH
Sep,pilibhit,1.57,west godavari,0.0,HIGH
Sep,agar malwa,1.57,dewas,0.0,HIGH
Sep,upper subansiri,1.57,amreli,0.0,HIGH
Sep,vikarabad,1.57,raipur,0.0,HIGH
Sep,shamator,1.57,koppal,0.0,HIGH
Sep,saraikela kharsawan,1.56,ratnagiri,0.0,HIGH
Sep,buldhana,1.56,sitapur,0.0,HIGH
Sep,kota,1.56,barpeta,0.0,HIGH
Sep,sindhudurg,1.56,sonipat,0.0,HIGH
Sep,mokokchung,1.56,deoghar,0.0,HIGH
Sep,bikaner,1.56,karur,0.0,HIGH
Sep,bhandara,1.56,rajkot,0.0,HIGH
Sep,saraikela kharsawan,1.56,sagar,0.0,HIGH
Sep,west garo hills,1.56,darjeeling,0.0,HIGH
Sep,meluri,1.56,muzaffarnagar,0.0,HIGH
Sep,chamba,1.55,westsinghbhum,0.0,HIGH
Sep,barabanki,1.55,kozhikode,0.0,HIGH
Sep,bijnor,1.55,wardha,0.0,HIGH
Sep,west singhbhum,1.55,davanagere,0.0,HIGH
Sep,khandwa east nimar,1.55,budaun,0.0,HIGH
Sep,hardoi,1.55,west,0.0,HIGH
Sep,lunglei,1.55,madhepura,0.0,HIGH
Sep,kheri,1.55,vikarabad,0.0,HIGH
Sep,khargone west nimar,1.54,rayagada,0.0,HIGH
Sep,satara,1.54,prakasam,0.0,HIGH
Sep,kullu,1.54,udham singh nagar,0.0,HIGH
Sep,north middle andaman,1.54,palghar,0.0,HIGH
Sep,khandwa east nimar,1.54,washim,0.0,HIGH
Sep,uttarkashi,1.54,auraiya,0.0,HIGH
Sep,charaideo,1.54,surajpur,0.0,HIGH
Sep,barabanki,1.54,tiruvannamalai,0.0,HIGH
Sep,ahilyanagar,1.54,kolhapur,0.0,HIGH
Sep,dakshin dinajpur,1.54,hapur,0.0,HIGH
Sep,bharatpur,1.54,kolar,0.0,HIGH
Sep,jalgaon,1.54,bagalkote,0.0,HIGH
Sep,cachar,1.54,theni,0.0,HIGH
Sep,deeg,1.54,kandhamal,0.0,HIGH
Sep,siang,1.54,amethi,0.0,HIGH
Sep,namsai,1.54,dungarpur,0.0,HIGH
Sep,parbhani,1.54,shivpuri,0.0,HIGH
Sep,bhopal,1.53,jagatsinghapur,0.0,HIGH
Sep,akola,1.53,tarn taran,0.0,HIGH
Sep,sangli,1.53,kandhamal,0.0,HIGH
Sep,jorhat,1.53,ghaziabad,0.0,HIGH
Sep,dr br ambedkar konaseema,1.53,sambalpur,0.0,HIGH
Sep,dima hasao,1.53,visakhapatnam,0.0,HIGH
Sep,washim,1.53,north east,0.0,HIGH
Sep,doda,1.53,purulia,0.0,HIGH
Sep,nanded,1.53,sahebganj,0.0,HIGH
Sep,lakshadweep,1.53,shivamogga,0.0,HIGH
Sep,lakshadweep,1.53,jind,0.0,HIGH
Sep,hanumakonda,1.53,sheikhpura,0.0,HIGH
Sep,ratnagiri,1.53,balod,0.0,HIGH
Sep,washim,1.53,palwal,0.0,HIGH
Sep,amravati,1.52,dausa,0.0,HIGH
Sep,kra daadi,1.52,birbhum,0.0,HIGH
Sep,diu,1.52,hoshiarpur,0.0,HIGH
Sep,bishnupur,1.52,ratnagiri,0.0,HIGH
Sep,chitrakoot,1.52,amreli,0.0,HIGH
Sep,dhule,1.52,bhiwani,0.0,HIGH
Sep,karbi anglong,1.52,bulandshahr,0.0,HIGH
Sep,kamareddy,1.52,kannur,0.0,HIGH
