state,district,total_enrollment,total_biometric_updates,total_demographic_updates,total_updates,total_activity,drm_score,category
andhra_pradesh,vizianagaram,3856,159998,78887,238885,242741,0.9682295121137344,Very High Update Pressure
andhra_pradesh,west_godavari,5935,220414,126806,347220,353155,0.9663886961815633,Very High Update Pressure
arunachal_pradesh,anjaw,37,1171,760,1931,1968,0.9623983739837398,Very High Update Pressure
arunachal_pradesh,changlang,803,8183,5659,13842,14645,0.8903379993171731,Low Update Pressure
arunachal_pradesh,dibang_valley,10,471,160,631,641,0.968798751950078,Very High Update Pressure
arunachal_pradesh,east_kameng,181,4297,1422,5719,5900,0.9386440677966101,High Update Pressure
arunachal_pradesh,east_siang,168,3321,2503,5824,5992,0.9439252336448598,High Update Pressure
arunachal_pradesh,kamle,30,143,318,461,491,0.8778004073319755,Very Low Update Pressure
arunachal_pradesh,kra_daadi,81,1240,514,1754,1835,0.911716621253406,Moderate Update Pressure
arunachal_pradesh,kurung_kumey,75,3390,335,3725,3800,0.9605263157894737,Very High Update Pressure
arunachal_pradesh,leparada,3,36,23,59,62,0.9032258064516129,Low Update Pressure
arunachal_pradesh,lohit,166,3891,1866,5757,5923,0.9439473239912206,High Update Pressure
arunachal_pradesh,longding,897,2599,1485,4084,4981,0.6398313591648264,Very Low Update Pressure
arunachal_pradesh,lower_dibang_valley,109,2248,1157,3405,3514,0.9379624359704041,High Update Pressure
arunachal_pradesh,lower_siang,31,413,339,752,783,0.9208173690932312,Moderate Update Pressure
arunachal_pradesh,lower_subansiri,105,2680,1521,4201,4306,0.9512308406874129,Very High Update Pressure
arunachal_pradesh,namsai,150,6003,2135,8138,8288,0.9638030888030888,Very High Update Pressure
arunachal_pradesh,pakke_kessang,4,74,87,161,165,0.9515151515151515,Very High Update Pressure
arunachal_pradesh,papum_pare,447,9259,4922,14181,14628,0.938884331419196,High Update Pressure
arunachal_pradesh,shi_yomi,35,529,238,767,802,0.912718204488778,Moderate Update Pressure
arunachal_pradesh,siang,103,1309,777,2086,2189,0.9058931018730013,Low Update Pressure
arunachal_pradesh,tawang,154,2464,951,3415,3569,0.913701316895489,Moderate Update Pressure
arunachal_pradesh,tirap,99,1893,990,2883,2982,0.9336016096579477,High Update Pressure
arunachal_pradesh,upper_siang,43,1796,1321,3117,3160,0.9727848101265822,Very High Update Pressure
arunachal_pradesh,upper_subansiri,143,4166,1549,5715,5858,0.9511778764083305,Very High Update Pressure
arunachal_pradesh,west_kameng,278,6172,1859,8031,8309,0.9330846070525936,High Update Pressure
arunachal_pradesh,west_siang,192,4646,3552,8198,8390,0.9542312276519667,Very High Update Pressure
assam,bajali,29,23,844,867,896,0.9352678571428571,High Update Pressure
assam,baksa,3699,17455,17012,34467,38166,0.8061625530576954,Very Low Update Pressure
assam,barpeta,14383,95421,59142,154563,168946,0.8297325772732116,Very Low Update Pressure
assam,biswanath,1329,9548,11025,20573,21902,0.8786412199799105,Very Low Update Pressure
assam,bongaigaon,3175,36608,39124,75732,78907,0.9195255173812209,Moderate Update Pressure
assam,cachar,17514,66145,58019,124164,141678,0.7527633083470969,Very Low Update Pressure
assam,charaideo,1189,8293,9913,18206,19395,0.8773910801753029,Very Low Update Pressure
assam,chirang,3348,27087,13397,40484,43832,0.8472348968789926,Very Low Update Pressure
assam,darrang,7595,26265,28319,54584,62179,0.7557053024332974,Very Low Update Pressure
assam,dhemaji,6901,20730,22349,43079,49980,0.7238495398159264,Very Low Update Pressure
assam,dhubri,12646,59475,80799,140274,152920,0.8346063301072456,Very Low Update Pressure
assam,dibrugarh,7062,26735,26519,53254,60316,0.7658332780688375,Very Low Update Pressure
assam,dima_hasao,1308,4049,3879,7928,9236,0.7167605023819835,Very Low Update Pressure
assam,goalpara,9898,27624,40567,68191,78089,0.7464943846124295,Very Low Update Pressure
assam,golaghat,11505,20154,27924,48078,59583,0.6138160213483712,Very Low Update Pressure
assam,hailakandi,5578,21123,21302,42425,48003,0.7675978584671791,Very Low Update Pressure
assam,hojai,7050,29002,25308,54310,61360,0.7702086049543677,Very Low Update Pressure
assam,jorhat,4887,16279,19788,36067,40954,0.7613419934560727,Very Low Update Pressure
assam,kamrup,13809,43252,44584,87836,101645,0.7282896354960894,Very Low Update Pressure
assam,kamrup_metro,6046,26762,26191,52953,58999,0.7950473736842998,Very Low Update Pressure
assam,karbi_anglong,8107,39206,31121,70327,78434,0.7932784251727567,Very Low Update Pressure
assam,kokrajhar,4609,28859,22669,51528,56137,0.835794573988635,Very Low Update Pressure
assam,lakhimpur,7199,29772,35412,65184,72383,0.8010858903333655,Very Low Update Pressure
assam,majuli,515,3382,3281,6663,7178,0.856505990526609,Very Low Update Pressure
assam,marigaon,10487,33936,43810,77746,88233,0.762288486167307,Very Low Update Pressure
assam,nagaon,12873,117879,97377,215256,228129,0.8871428007837671,Low Update Pressure
assam,nalbari,3881,20251,20961,41212,45093,0.8278668529483512,Very Low Update Pressure
assam,sonitpur,9197,30117,43576,73693,82890,0.7780914464953553,Very Low Update Pressure
assam,tinsukia,8384,19249,35249,54498,62882,0.7333418148277726,Very Low Update Pressure
assam,udalguri,4565,22348,19780,42128,46693,0.8044674790653845,Very Low Update Pressure
assam,west_karbi_anglong,1884,3392,1451,4843,6727,0.43986918388583324,Very Low Update Pressure
bihar,araria,15579,155444,155315,310759,326338,0.9045223050947178,Low Update Pressure
bihar,arwal,3866,30704,27770,58474,62340,0.8759704844401668,Very Low Update Pressure
bihar,aurangabad,10283,96662,106534,203196,213479,0.9036626553431485,Low Update Pressure
bihar,banka,11074,98227,98120,196347,207421,0.893221997772646,Low Update Pressure
bihar,begusarai,13209,147208,132990,280198,293407,0.9099612483683075,Low Update Pressure
bihar,bhagalpur,21062,148314,155026,303340,324402,0.8701487660372007,Very Low Update Pressure
bihar,bhojpur,13357,96996,142341,239337,252694,0.894283204191631,Low Update Pressure
bihar,buxar,7240,57028,73902,130930,138170,0.8952015632915973,Low Update Pressure
bihar,darbhanga,15765,210380,153928,364308,380073,0.9170422524094055,Moderate Update Pressure
bihar,gaya,27401,185172,195174,380346,407747,0.8655980301510495,Very Low Update Pressure
bihar,gopalganj,15148,103484,105867,209351,224499,0.8650506238335137,Very Low Update Pressure
bihar,jamui,10382,82157,66920,149077,159459,0.8697847095491631,Very Low Update Pressure
bihar,jehanabad,4883,37430,46361,83791,88674,0.8898662516633963,Low Update Pressure
bihar,katihar,16350,217280,180294,397574,413924,0.9209999903363902,Moderate Update Pressure
bihar,khagaria,8196,79904,75624,155528,163724,0.8998802863355403,Low Update Pressure
bihar,kishanganj,8764,141279,145141,286420,295184,0.9406200878096374,High Update Pressure
bihar,lakhisarai,6155,49497,48883,98380,104535,0.8822403979528388,Low Update Pressure
bihar,madhepura,9027,117237,91861,209098,218125,0.9172309455587393,Moderate Update Pressure
bihar,madhubani,25930,238135,181691,419826,445756,0.8836583242850349,Low Update Pressure
bihar,munger,6136,50570,56229,106799,112935,0.8913357240890778,Low Update Pressure
bihar,muzaffarpur,28855,208544,206917,415461,444316,0.8701149632243719,Very Low Update Pressure
bihar,nalanda,14575,117402,153043,270445,285020,0.8977264753350642,Low Update Pressure
bihar,nawada,15413,86245,86518,172763,188176,0.8361852733611087,Very Low Update Pressure
bihar,pashchim_champaran,46797,167170,234509,401679,448476,0.7913065582104728,Very Low Update Pressure
bihar,patna,24644,209014,243772,452786,477430,0.896763923507111,Low Update Pressure
bihar,purbi_champaran,44321,212398,248962,461360,505681,0.8247076714371313,Very Low Update Pressure
bihar,purnia,20357,233505,146180,379685,400042,0.8982256863029382,Low Update Pressure
bihar,rohtas,7939,111710,117745,229455,237394,0.9331154115099792,High Update Pressure
bihar,saharsa,13063,119866,81177,201043,214106,0.8779763294816586,Very Low Update Pressure
bihar,samastipur,19289,200360,202740,403100,422389,0.9086671291155783,Low Update Pressure
bihar,saran,24218,148503,169845,318348,342566,0.8586082681877361,Very Low Update Pressure
bihar,sheikhpura,3228,40556,28266,68822,72050,0.9103955586398335,Low Update Pressure
bihar,sheohar,3262,32682,31480,64162,67424,0.9032392026578073,Low Update Pressure
bihar,sitamarhi,42232,182000,169848,351848,394080,0.7856678846934633,Very Low Update Pressure
bihar,siwan,15311,125804,123722,249526,264837,0.8843741622205357,Low Update Pressure
bihar,supaul,10411,112370,106911,219281,229692,0.9093481705936646,Low Update Pressure
bihar,vaishali,18007,168160,155594,323754,341761,0.8946222652672482,Low Update Pressure
chandigarh,chandigarh,2720,74462,83361,157823,160543,0.966114997228157,Very High Update Pressure
chhattisgarh,balod,1678,81215,59734,140949,142627,0.9764700933203391,Very High Update Pressure
chhattisgarh,bastar,6608,94384,79431,173815,180423,0.9267499154764082,Moderate Update Pressure
chhattisgarh,bemetara,2771,111710,58693,170403,173174,0.9679975053991938,Very High Update Pressure
chhattisgarh,bijapur,6724,27884,13047,40931,47655,0.7178050571818277,Very Low Update Pressure
chhattisgarh,bilaspur,8941,195037,153341,348378,357319,0.9499550821534819,Very High Update Pressure
chhattisgarh,dakshin_bastar_dantewada,1934,46139,8294,54433,56367,0.9313782887150283,High Update Pressure
chhattisgarh,dhamtari,1968,90278,44713,134991,136959,0.9712614724114516,Very High Update Pressure
chhattisgarh,durg,4095,179851,77149,257000,261095,0.9686321070874586,Very High Update Pressure
chhattisgarh,gariyaband,1542,52088,27599,79687,81229,0.9620332639820753,Very High Update Pressure
chhattisgarh,jashpur,2543,74603,71023,145626,148169,0.9656743313378642,Very High Update Pressure
chhattisgarh,kabeerdham,3097,93308,94101,187409,190506,0.9674865883489234,Very High Update Pressure
chhattisgarh,kondagaon,3038,57346,61964,119310,122348,0.9503383790499231,Very High Update Pressure
chhattisgarh,korba,3542,101874,83374,185248,188790,0.9624768261030775,Very High Update Pressure
chhattisgarh,korea,1763,60897,31735,92632,94395,0.9626463266062821,Very High Update Pressure
chhattisgarh,mahasamund,3361,99869,134887,234756,238117,0.9717701802055292,Very High Update Pressure
chhattisgarh,mungeli,2957,82567,70564,153131,156088,0.9621111168059043,Very High Update Pressure
chhattisgarh,narayanpur,762,22173,16765,38938,39700,0.9616120906801008,Very High Update Pressure
chhattisgarh,raigarh,4956,174626,83436,258062,263018,0.9623143663171342,Very High Update Pressure
chhattisgarh,raipur,7041,192374,133011,325385,332426,0.9576386925210423,Very High Update Pressure
chhattisgarh,rajnandgaon,4185,154498,148118,302616,306801,0.9727184722344451,Very High Update Pressure
chhattisgarh,sakti,455,4024,9685,13709,14164,0.9357526122564247,High Update Pressure
chhattisgarh,sukma,2179,30139,12746,42885,45064,0.9032930942659328,Low Update Pressure
chhattisgarh,surajpur,2977,71822,42067,113889,116866,0.9490527612821522,Very High Update Pressure
chhattisgarh,surguja,3556,82860,115683,198543,202099,0.9648093261223459,Very High Update Pressure
chhattisgarh,uttar_bastar_kanker,2593,83510,42408,125918,128511,0.9596454778190194,Very High Update Pressure
dadra_and_nagar_haveli_and_daman_and_diu,dadra_and_nagar_haveli,1573,29766,7957,37723,39296,0.9199409609120521,Moderate Update Pressure
dadra_and_nagar_haveli_and_daman_and_diu,daman,130,5966,3168,9134,9264,0.9719343696027634,Very High Update Pressure
dadra_and_nagar_haveli_and_daman_and_diu,diu,96,3536,1079,4615,4711,0.9592443218000425,Very High Update Pressure
delhi,central,3947,54060,49047,103107,107054,0.9262615128813496,Moderate Update Pressure
delhi,east,10736,122805,187061,309866,320602,0.9330259948471937,High Update Pressure
delhi,new_delhi,1637,4563,4061,8624,10261,0.6809277848162947,Very Low Update Pressure
delhi,north,4459,60830,86900,147730,152189,0.9414018095920205,High Update Pressure
delhi,north_east,13853,189716,152975,342691,356544,0.922292900735954,Moderate Update Pressure
delhi,north_west,16043,325293,313989,639282,655325,0.9510380345630031,Very High Update Pressure
delhi,shahdara,1700,7963,28544,36507,38207,0.9110110712696626,Low Update Pressure
delhi,south,13395,222936,213489,436425,449820,0.9404428438041883,High Update Pressure
delhi,south_east,60,582,1169,1751,1811,0.9337382661512976,High Update Pressure
delhi,south_west,9285,142372,169699,312071,321356,0.9422136197861561,High Update Pressure
delhi,west,19414,173242,232000,405242,424656,0.9085659922384236,Low Update Pressure
goa,north_goa,1356,37813,18882,56695,58051,0.9532824585278462,Very High Update Pressure
goa,south_goa,977,30584,16238,46822,47799,0.9591204836921274,Very High Update Pressure
gujarat,ahmedabad,25797,421172,275644,696816,722613,0.9286007863130057,Moderate Update Pressure
gujarat,amreli,4293,68514,27888,96402,100695,0.9147326083718159,Moderate Update Pressure
gujarat,anand,6980,113695,39149,152844,159824,0.9126539193112424,Moderate Update Pressure
gujarat,arvalli,2391,29669,8096,37765,40156,0.8809144337085367,Very Low Update Pressure
gujarat,banas_kantha,30858,152304,75680,227984,258842,0.7615688334968823,Very Low Update Pressure
gujarat,bharuch,4351,76378,49806,126184,130535,0.9333358869268779,High Update Pressure
gujarat,bhavnagar,10174,141152,57862,199014,209188,0.9027286460026388,Low Update Pressure
gujarat,botad,2947,16256,7545,23801,26748,0.7796470764169283,Very Low Update Pressure
gujarat,chhotaudepur,4107,33802,9631,43433,47540,0.827219183845183,Very Low Update Pressure
gujarat,dahod,23512,131391,41148,172539,196051,0.7601440441517768,Very Low Update Pressure
gujarat,dangs,1328,27950,6581,34531,35859,0.9259321230374522,Moderate Update Pressure
gujarat,devbhumi_dwarka,2490,25464,6586,32050,34540,0.855819339895773,Very Low Update Pressure
gujarat,gandhinagar,5650,76564,64588,141152,146802,0.923025571858694,Moderate Update Pressure
gujarat,gir_somnath,5723,36766,12066,48832,54555,0.7901933828246723,Very Low Update Pressure
gujarat,jamnagar,6078,81102,45719,126821,132899,0.9085320431304976,Low Update Pressure
gujarat,junagadh,5536,102672,38045,140717,146253,0.9242955700054016,Moderate Update Pressure
gujarat,kachchh,9302,123961,66789,190750,200052,0.9070041789134825,Low Update Pressure
gujarat,kheda,7567,117161,52619,169780,177347,0.914664471347133,Moderate Update Pressure
gujarat,mahesana,6490,99913,50217,150130,156620,0.9171242497765292,Moderate Update Pressure
gujarat,mahisagar,2563,30952,7507,38459,41022,0.8750426600360782,Very Low Update Pressure
gujarat,morbi,8004,31879,19799,51678,59682,0.7317784256559767,Very Low Update Pressure
gujarat,narmada,1280,39198,14757,53955,55235,0.9536525753598262,Very High Update Pressure
gujarat,navsari,2757,45552,29602,75154,77911,0.9292269384297468,Moderate Update Pressure
gujarat,panch_mahals,7681,105095,32887,137982,145663,0.8945373911013779,Low Update Pressure
gujarat,patan,8967,73949,29559,103508,112475,0.8405512336074683,Very Low Update Pressure
gujarat,porbandar,2519,30985,14623,45608,48127,0.8953186361086293,Low Update Pressure
gujarat,rajkot,17070,168711,137600,306311,323381,0.8944279348508416,Low Update Pressure
gujarat,sabar_kantha,7552,91004,44520,135524,143076,0.894433727529425,Low Update Pressure
gujarat,surat,25469,281599,357582,639181,664650,0.9233611675317837,Moderate Update Pressure
gujarat,surendranagar,8297,96238,39672,135910,144207,0.8849293030158036,Low Update Pressure
gujarat,tapi,2212,40025,12190,52215,54427,0.918716813346317,Moderate Update Pressure
gujarat,vadodara,12284,201417,100027,301444,313728,0.9216901264789882,Moderate Update Pressure
gujarat,valsad,7448,84024,48343,132367,139815,0.893459213961306,Low Update Pressure
haryana,ambala,3218,72756,33242,105998,109216,0.9410709053618518,High Update Pressure
haryana,bhiwani,3489,95625,34280,129905,133394,0.9476888015952741,Very High Update Pressure
haryana,charkhi_dadri,858,9788,12095,21883,22741,0.9245415768875599,Moderate Update Pressure
haryana,faridabad,16155,118951,160555,279506,295661,0.890719438816753,Low Update Pressure
haryana,fatehabad,2612,69794,41970,111764,114376,0.954326082394908,Very High Update Pressure
haryana,gurugram,9497,70791,119213,190004,199501,0.9047924571806658,Low Update Pressure
haryana,hisar,5234,115867,63206,179073,184307,0.9432034594453819,High Update Pressure
haryana,jhajjar,2625,56639,32384,89023,91648,0.9427156075418994,High Update Pressure
haryana,jind,3821,91268,44013,135281,139102,0.9450618970252045,High Update Pressure
haryana,kaithal,2991,79936,39974,119910,122901,0.9513266775697513,Very High Update Pressure
haryana,karnal,4048,94019,49131,143150,147198,0.9449992527072378,High Update Pressure
haryana,kurukshetra,2404,69992,28709,98701,101105,0.9524454774739133,Very High Update Pressure
haryana,mahendragarh,2754,48832,28534,77366,80120,0.9312531203195207,High Update Pressure
haryana,nuh,9064,68326,66667,134993,144057,0.8741609224126561,Very Low Update Pressure
haryana,palwal,4703,58697,68968,127665,132368,0.9289405294330956,Moderate Update Pressure
haryana,panchkula,1384,37369,34418,71787,73171,0.9621708053737136,Very High Update Pressure
haryana,panipat,6088,79773,69084,148857,154945,0.9214172770983252,Moderate Update Pressure
haryana,rewari,2485,49732,44031,93763,96248,0.9483625633779403,Very High Update Pressure
haryana,rohtak,3413,75970,26531,102501,105914,0.9355514851672111,High Update Pressure
haryana,sirsa,3335,97066,55162,152228,155563,0.9571234805191465,Very High Update Pressure
haryana,sonipat,4619,84653,60664,145317,149936,0.9383870451392594,High Update Pressure
haryana,yamunanagar,3455,89610,53309,142919,146374,0.9527921625425281,Very High Update Pressure
himachal_pradesh,bilaspur,999,21906,6760,28666,29665,0.9326479015675038,High Update Pressure
himachal_pradesh,chamba,1657,33842,19658,53500,55157,0.9399169643019019,High Update Pressure
himachal_pradesh,hamirpur,1198,23819,7320,31139,32337,0.9259053097071466,Moderate Update Pressure
himachal_pradesh,kangra,3966,89913,34127,124040,128006,0.9380341546490009,High Update Pressure
himachal_pradesh,kinnaur,163,4467,1169,5636,5799,0.9437834109329195,High Update Pressure
himachal_pradesh,kullu,1239,21248,9602,30850,32089,0.9227772757019539,Moderate Update Pressure
himachal_pradesh,lahaul_and_spiti,73,1407,569,1976,2049,0.928745729624207,Moderate Update Pressure
himachal_pradesh,mandi,2514,63334,16305,79639,82153,0.9387971224422723,High Update Pressure
himachal_pradesh,shimla,1670,39727,15742,55469,57139,0.9415460543586692,High Update Pressure
himachal_pradesh,sirmaur,1584,31453,19418,50871,52455,0.9396053760366028,High Update Pressure
himachal_pradesh,solan,1176,33569,8983,42552,43728,0.9462129527991219,High Update Pressure
himachal_pradesh,una,1247,31549,9561,41110,42357,0.9411195316004438,High Update Pressure
jammu_and_kashmir,anantnag,3354,47569,35566,83135,86489,0.9224410040583195,Moderate Update Pressure
jammu_and_kashmir,bandipora,1641,20374,15895,36269,37910,0.913426536533896,Moderate Update Pressure
jammu_and_kashmir,baramulla,3794,61935,36795,98730,102524,0.9259880613319807,Moderate Update Pressure
jammu_and_kashmir,budgam,2726,37252,30741,67993,70719,0.9229061496910307,Moderate Update Pressure
jammu_and_kashmir,doda,4504,36779,11377,48156,52660,0.8289403721990125,Very Low Update Pressure
jammu_and_kashmir,ganderbal,843,13696,7529,21225,22068,0.9235997824904839,Moderate Update Pressure
jammu_and_kashmir,jammu,4620,98800,35116,133916,138536,0.9333025350811341,High Update Pressure
jammu_and_kashmir,kathua,2962,40163,20478,60641,63603,0.9068597393204723,Low Update Pressure
jammu_and_kashmir,kishtwar,1269,20920,5868,26788,28057,0.9095412909434366,Low Update Pressure
jammu_and_kashmir,kulgam,1211,25744,12407,38151,39362,0.9384685737513337,High Update Pressure
jammu_and_kashmir,kupwara,2884,49760,45137,94897,97781,0.9410110348636238,High Update Pressure
jammu_and_kashmir,poonch,2630,46376,23443,69819,72449,0.9273972035500835,Moderate Update Pressure
jammu_and_kashmir,pulwama,1875,32832,21487,54319,56194,0.9332668968217247,High Update Pressure
jammu_and_kashmir,rajouri,2676,55748,15823,71571,74247,0.9279162794456342,Moderate Update Pressure
jammu_and_kashmir,ramban,1920,29877,7754,37631,39551,0.902910166620313,Low Update Pressure
jammu_and_kashmir,reasi,1715,23240,8400,31640,33355,0.8971668415529905,Low Update Pressure
jammu_and_kashmir,samba,588,11225,5120,16345,16933,0.930549813972716,High Update Pressure
jammu_and_kashmir,shopian,1078,15529,8207,23736,24814,0.9131135649230273,Moderate Update Pressure
jammu_and_kashmir,srinagar,3259,72844,39716,112560,115819,0.9437225325723758,High Update Pressure
jammu_and_kashmir,udhampur,2808,45486,16853,62339,65147,0.9137949560225337,Moderate Update Pressure
jharkhand,bokaro,5802,108432,70673,179105,184907,0.9372441281292758,High Update Pressure
jharkhand,chatra,6302,67692,47296,114988,121290,0.8960837661802292,Low Update Pressure
jharkhand,deoghar,8324,67426,60060,127486,135810,0.8774169796038583,Very Low Update Pressure
jharkhand,dhanbad,11031,151069,107797,258866,269897,0.9182577057173662,Moderate Update Pressure
jharkhand,dumka,5825,76212,59658,135870,141695,0.9177811496524224,Moderate Update Pressure
jharkhand,garhwa,6454,105042,42389,147431,153885,0.9161191799070735,Moderate Update Pressure
jharkhand,giridih,14303,110410,125671,236081,250384,0.8857514857179373,Low Update Pressure
jharkhand,godda,5390,80934,57677,138611,144001,0.9251394087541058,Moderate Update Pressure
jharkhand,gumla,6701,87878,46753,134631,141332,0.9051736337135255,Low Update Pressure
jharkhand,hazaribagh,6770,82666,76371,159037,165807,0.9183387914864873,Moderate Update Pressure
jharkhand,jamtara,4450,39641,33003,72644,77094,0.8845565154227307,Low Update Pressure
jharkhand,khunti,2644,42955,21421,64376,67020,0.9210981796478663,Moderate Update Pressure
jharkhand,koderma,3532,43041,27188,70229,73761,0.9042312333075745,Low Update Pressure
jharkhand,latehar,2609,43463,38645,82108,84717,0.9384066952323619,High Update Pressure
jharkhand,lohardaga,2959,39196,17419,56615,59574,0.9006613623392755,Low Update Pressure
jharkhand,pakur,7221,39771,49139,88910,96131,0.8497675047591308,Very Low Update Pressure
jharkhand,palamu,8892,115675,117737,233412,242304,0.9266045958795562,Moderate Update Pressure
jharkhand,ramgarh,2979,37237,35460,72697,75676,0.9212696231301866,Moderate Update Pressure
jharkhand,ranchi,14265,177774,103653,281427,295692,0.9035144677569904,Low Update Pressure
jharkhand,sahebganj,6686,66522,68405,134927,141613,0.9055736408380587,Low Update Pressure
jharkhand,simdega,2079,62711,26085,88796,90875,0.9542448418156809,Very High Update Pressure
karnataka,bagalkote,7391,78859,53857,132716,140107,0.8944949217383856,Low Update Pressure
karnataka,ballari,7001,105607,51779,157386,164387,0.914822948286665,Moderate Update Pressure
karnataka,belagavi,14548,190070,117343,307413,321961,0.9096288059733942,Low Update Pressure
karnataka,bengaluru_rural,5434,38045,48313,86358,91792,0.8816018825169949,Very Low Update Pressure
karnataka,bengaluru_south,3356,41068,3714,44782,48138,0.8605675350035316,Very Low Update Pressure
karnataka,bengaluru_urban,61070,496054,355766,851820,912890,0.8662051287668832,Very Low Update Pressure
karnataka,bidar,4920,79708,43059,122767,127687,0.9229365557965964,Moderate Update Pressure
karnataka,chamarajanagar,2879,33124,18313,51437,54316,0.8939907209661978,Low Update Pressure
karnataka,chikkaballapura,3152,41933,36221,78154,81306,0.9224657466853615,Moderate Update Pressure
karnataka,chikkamagaluru,2536,38480,22285,60765,63301,0.9198748834931517,Moderate Update Pressure
karnataka,chitradurga,4413,61227,47341,108568,112981,0.9218806702011842,Moderate Update Pressure
karnataka,dakshina_kannada,6505,78051,56402,134453,140958,0.907703003731608,Low Update Pressure
karnataka,davanagere,5296,95683,36959,132642,137938,0.9232118778001711,Moderate Update Pressure
karnataka,dharwad,5103,87821,55119,142940,148043,0.9310605702397277,High Update Pressure
karnataka,gadag,4602,42065,29591,71656,76258,0.8793044664166383,Very Low Update Pressure
karnataka,hassan,3487,56694,47414,104108,107595,0.9351828616571402,High Update Pressure
karnataka,haveri,4359,69745,58594,128339,132698,0.9343019487859652,High Update Pressure
karnataka,kalaburagi,9138,134602,63919,198521,207659,0.9119903303011186,Moderate Update Pressure
karnataka,kodagu,1211,17305,11481,28786,29997,0.9192585925259192,Moderate Update Pressure
karnataka,kolar,4186,64283,47265,111548,115734,0.9276617070178167,Moderate Update Pressure
karnataka,koppal,5451,59812,43399,103211,108662,0.8996705379985643,Low Update Pressure
karnataka,mandya,3594,65779,40261,106040,109634,0.9344363974679388,High Update Pressure
karnataka,mysuru,7434,109107,58416,167523,174957,0.9150191189835216,Moderate Update Pressure
karnataka,raichur,9779,110877,48164,159041,168820,0.884148797535837,Low Update Pressure
karnataka,shivamogga,4489,60503,40265,100768,105257,0.9147040101845958,Moderate Update Pressure
karnataka,tumakuru,5942,108322,54725,163047,168989,0.9296758960642408,Moderate Update Pressure
karnataka,udupi,3593,34628,27376,62004,65597,0.8904523072701496,Low Update Pressure
karnataka,uttara_kannada,3470,43156,30631,73787,77257,0.9101699522373378,Low Update Pressure
karnataka,vijayanagara,2119,19948,14692,34640,36759,0.8847085067602491,Low Update Pressure
karnataka,vijayapura,9830,108215,62354,170569,180399,0.8910193515485119,Low Update Pressure
karnataka,yadgir,6947,65183,35433,100616,107563,0.8708291884755911,Very Low Update Pressure
kerala,alappuzha,3559,87629,36835,124464,128023,0.9444006155143998,High Update Pressure
kerala,ernakulam,6324,148755,66207,214962,221286,0.9428431983948374,High Update Pressure
kerala,idukki,1698,47933,15492,63425,65123,0.9478525252215039,Very High Update Pressure
kerala,kannur,5965,119399,57710,177109,183074,0.9348350940057026,High Update Pressure
kerala,kasaragod,3870,73894,30227,104121,107991,0.9283273606133845,Moderate Update Pressure
kerala,kollam,5069,127311,53100,180411,185480,0.9453418158292,High Update Pressure
kerala,kottayam,3321,78215,30210,108425,111746,0.9405616308413725,High Update Pressure
kerala,kozhikode,6704,152186,89927,242113,248817,0.9461130067479312,High Update Pressure
kerala,malappuram,14567,224009,152390,376399,390966,0.9254820112234824,Moderate Update Pressure
